Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,India,IND,1226440,1717560,2671200,2814000,2875980,3048790,3063650,3103110,3229920,3374990,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Indonesia,IDN,506470,667880,822480,827220,796880,845070,852000,866360,912420,969580,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,"Irán, República Islámica del",IRN,260940,466760,750700,761050,781950,794190,786500,795970,814730,828280,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Iraq,IRQ,78780,90630,153590,175600,186900,193680,185770,197300,200790,215690,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Irlanda,IRL,56570,71230,60650,62310,61380,61540,63350,65880,65250,65090,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Isla de Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Israel,ISR,43980,73610,89590,96710,88550,87150,89510,89420,91060,87830,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Italia,ITA,491250,522470,474590,456710,424930,405240,416150,411450,405770,399600,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Jamaica,JAM,9030,11780,9010,8570,9050,8890,8780,9230,8690,10020,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Japón,JPN,1185030,1274300,1284770,1327040,1338630,1300990,1265070,1257730,1235370,1186770,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Jordania,JOR,18670,20900,28550,32120,32420,34680,34970,35070,36740,35810,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Kazajstán,KAZ,309010,148040,294130,294140,307440,258090,259340,274520,283580,274220,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Kenya,KEN,38490,39680,67080,66430,68440,71370,73990,79550,76750,78830,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Kiribati,KIR,40,50,80,80,90,90,90,100,100,110,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,"Corea, República Popular Democrática de",PRK,159020,89640,59670,61410,50830,54550,48430,53460,46000,41910,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,"Corea, República de",KOR,286680,511790,670790,675290,675000,664250,685800,696930,710340,718880,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Kuwait,KWT,32070,53600,93590,97460,100560,100320,106220,109840,111460,112970,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Kirguistán,KGZ,32650,9660,13750,16340,15870,16410,16960,16510,16240,18120,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,República Democrática Popular Lao,LAO,7860,8070,12120,13110,13810,14480,19020,26150,29200,29270,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Letonia,LVA,25380,10490,11750,11540,11490,11440,11500,11340,11260,11660,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Líbano,LBN,7220,18770,25760,28360,28350,30310,32660,33790,35600,34350,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Lesotho,LSO,3310,4080,5100,5280,5280,5390,5390,5420,5780,5850,..,..
