Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Senegal,SEN,93031.6,88531.6,84281.6,83881.6,83481.6,83081.6,82681.6,82281.6,81881.6,81481.6,81081.6,80681.6
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Serbia,SRB,24760,24600,27143.06,27156.12,27169.18,27182.24,27195.3,27201.8,27218.6,27220,27222.2,27226.5
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Seychelles,SYC,337,337,337,337,337,337,337,337,337,337,337,337
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Sierra Leona,SLE,31267,29294.3,27124.34,26927.08,26729.82,26532.56,26335.3,26138,25940.7,25743.4,25546.1,25348.8
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Singapur,SGP,148.269,170.1346,174.866,172.328,169.79,167.252,164.714,162.855,161.1,159.3,157.5,155.7
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Sint Maarten (Dutch part),SXM,..,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,República Eslovaca,SVK,19220,19014.1,19186.78,19194.46,19202.14,19209.82,19217.5,19233.7,19259,19259,19259,19259
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Eslovenia,SVN,11880,12330,12472,12474,12476,12478,12480,12459.7,12439.3,12419,12398.6,12378.3
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Islas Salomón,SLB,25449.1,25376,25295.48,25288.16,25280.84,25273.52,25266.2,25258.9,25251.6,25244.3,25237,25229.7
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Somalia,SOM,82825,75150,66707.5,65940,65172.5,64405,63637.5,62870,62102.5,61335,60567.5,59800
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Sudáfrica,ZAF,181420.9,177780.9,173776.9,173412.9,173048.9,172684.9,172320.9,171956.9,171592.9,171228.9,170864.9,170500.9
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Sudán del Sur,SSD,..,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570,71570
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,España,ESP,139046.6,170939.3,185465.08,185476.76,185488.44,185500.12,185511.8,185552.4,185593,185635.9,185678.8,185721.7
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Sri Lanka,LKA,23503.3,21664.2,21086.6,21137,21187.4,21237.8,21288.2,21256.6,21225,21193.4,21161.8,21130.2
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Saint Kitts y Nevis,KNA,110,110,110,110,110,110,110,110,110,110,110,110
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Santa Lucía,LCA,212.7,210.1,207.7,207.7,207.7,207.7,207.7,207.7,207.7,207.7,207.7,207.7
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Isla de San Martín (parte francesa),MAF,10,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,San Vicente y las Granadinas,VCT,275.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Sudán,SDN,..,218261.6,199069.22,197326.74,195584.26,193841.78,192099.3,190481.9,188760.3,187038.7,185317.1,183595.5
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Suriname,SUR,153776.3,153408.7,152902.22,152805.84,152709.46,152613.08,152516.7,152403.2,152330.2,152207.8,152085.3,151962.9
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Suecia,SWE,280630,281630,280544,280358,280172,279986,279800,279800,279800,279800,279800,279800
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Suiza,CHE,11535,11961.8,12381.58,12415.96,12450.34,12484.72,12519.1,12553.5,12587.9,12622.3,12656.7,12691.1
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,República Árabe Siria,SYR,3720.8,4320.8,4980.8,5040.8,5100.8,5160.8,5220.8,5220.8,5220.8,5220.8,5220.8,5220.8
